order_date_epoch,order_date,profit
1420502400,2015-01-06,1348.7212
1420848000,2015-01-10,22.6537
1421107200,2015-01-13,413.9176
1421280000,2015-01-15,65.978
1421712000,2015-01-20,385.7321
1421798400,2015-01-21,4.1028
1422230400,2015-01-26,105.5586
1422835200,2015-02-02,1.348
1423180800,2015-02-06,91.2541
1423612800,2015-02-11,186.7374
1425340800,2015-03-03,3.4048
1425427200,2015-03-04,20.0778
1426032000,2015-03-11,223.9838
1426291200,2015-03-14,316.8496
1426377600,2015-03-15,33.598
1426464000,2015-03-16,29.495
1426550400,2015-03-17,42.8123
1426636800,2015-03-18,-1789.7327
1426723200,2015-03-19,68.6353
1426896000,2015-03-21,1052.5821
1426982400,2015-03-22,-45.3169
1427068800,2015-03-23,3.2214
1427760000,2015-03-31,88.1143
1427932800,2015-04-02,387.5792
1428105600,2015-04-04,67.975
1428192000,2015-04-05,168.8001
1428364800,2015-04-07,305.056
1428451200,2015-04-08,316.1392
1428710400,2015-04-11,129.5495
1429142400,2015-04-16,9.768
1429401600,2015-04-19,60.9174
1429574400,2015-04-21,0
1429920000,2015-04-25,37.797
1430265600,2015-04-29,90.5502
1430352000,2015-04-30,276.4956
1430524800,2015-05-02,89.997
1430784000,2015-05-05,39.6874
1431129600,2015-05-09,50.7928
1431475200,2015-05-13,-329.5624
1431561600,2015-05-14,23.316
1431993600,2015-05-19,9.234
1432166400,2015-05-21,1449.5187
1432252800,2015-05-22,46.581
1432944000,2015-05-30,6.129
1433030400,2015-05-31,230.9727
1433116800,2015-06-01,238.4038
1433203200,2015-06-02,176.9272
1433548800,2015-06-06,21.5708
1433721600,2015-06-08,10.647
1433808000,2015-06-09,245.021
1434844800,2015-06-21,98.9298
1435017600,2015-06-23,2.1006
1435363200,2015-06-27,76.1052
1435622400,2015-06-30,108.7408
1435708800,2015-07-01,68.3612
1435968000,2015-07-04,18.564
1436054400,2015-07-05,194.2668
1437868800,2015-07-26,104.1415
1438041600,2015-07-28,34.6984
1438387200,2015-08-01,57.6448
1438819200,2015-08-06,22.6476
1438992000,2015-08-08,-7.7728
1439078400,2015-08-09,27.7412
1439337600,2015-08-12,177.4792
1439596800,2015-08-15,46.819
1439769600,2015-08-17,187.7404
1439942400,2015-08-19,182.8287
1440028800,2015-08-20,575.9101
1440201600,2015-08-22,-1.8126
1440374400,2015-08-24,6.63
1440633600,2015-08-27,487.8549
1440806400,2015-08-29,-436.7431
1441152000,2015-09-02,843.1706
1441411200,2015-09-05,1.999
1441670400,2015-09-08,154.9422
1441756800,2015-09-09,-571.9956
1441843200,2015-09-10,4.7236
1442016000,2015-09-12,24.6807
1442102400,2015-09-13,-12.432
1442188800,2015-09-14,61.1991
1442448000,2015-09-17,14.8718
1442620800,2015-09-19,-937.4184
1442707200,2015-09-20,0.9856
1442880000,2015-09-22,1.6704
1443398400,2015-09-28,51.8784
1443571200,2015-09-30,16.6908
1443830400,2015-10-03,5.082
1444262400,2015-10-08,4.9878
1444348800,2015-10-09,31.0688
1444521600,2015-10-11,7.3605
1444694400,2015-10-13,35.273
