order_date_epoch,order_date,profit
1420502400,2015-01-06,9.3312
1421107200,2015-01-13,249.1494
1421539200,2015-01-18,6.4864
1421625600,2015-01-19,-287.9976
1421712000,2015-01-20,15.0828
1421971200,2015-01-23,19.2384
1422316800,2015-01-27,9.6827
1422662400,2015-01-31,3.4196
1422835200,2015-02-02,5.8045
1422921600,2015-02-03,31.5614
1423008000,2015-02-04,51.1432
1423353600,2015-02-08,5.5328
1423699200,2015-02-12,-24.294
1423872000,2015-02-14,114.1104
1423958400,2015-02-15,7.209
1424390400,2015-02-20,6.2208
1424563200,2015-02-22,9.3312
1424736000,2015-02-24,18.7893
1425168000,2015-03-01,51.4764
1425340800,2015-03-03,-23.4882
1425686400,2015-03-07,134.1539
1425945600,2015-03-10,-6.5538
1426032000,2015-03-11,2.0748
1426291200,2015-03-14,52.9658
1426636800,2015-03-18,835.0238
1426982400,2015-03-22,-12.1296
1427068800,2015-03-23,123.701
1427155200,2015-03-24,14.5728
1427241600,2015-03-25,31.462
1427328000,2015-03-26,30.7658
1427500800,2015-03-28,22.6782
1427673600,2015-03-30,10.102
1427760000,2015-03-31,267.4224
1427846400,2015-04-01,20.3536
1428019200,2015-04-03,85.6044
1428105600,2015-04-04,11.317
1428278400,2015-04-06,351.8474
1428451200,2015-04-08,138.3694
1428710400,2015-04-11,128.3002
1428796800,2015-04-12,137.1061
1429056000,2015-04-15,108
1429315200,2015-04-18,108.1437
1429401600,2015-04-19,26.649
1429488000,2015-04-20,27.5632
1429574400,2015-04-21,5.5755
1429747200,2015-04-23,22.9877
1429920000,2015-04-25,290.8953
1430006400,2015-04-26,40.745
1430179200,2015-04-28,125.997
1430697600,2015-05-04,22.932
1430870400,2015-05-06,85.7158
1431129600,2015-05-09,44.3808
1431216000,2015-05-10,269.5033
1431475200,2015-05-13,87.2787
1431734400,2015-05-16,20.85
1432166400,2015-05-21,10.5072
1432339200,2015-05-23,6.2208
1432598400,2015-05-26,124.7708
