region,year,month,profit
South,2018,4,5.4432
West,2017,12,132.5922
Central,2016,11,-123.858
Central,2016,11,-3.816
Central,2015,11,13.3176
West,2015,5,9.99
West,2015,8,2.4824
West,2015,8,16.011
West,2015,8,7.384
Central,2017,12,5.0596
Central,2017,12,15.6884
East,2018,7,-1.0196
West,2016,9,240.2649
West,2017,1,4.2224
West,2017,1,11.7741
East,2016,9,-1665.0522
East,2016,9,-7.0532
East,2016,9,15.525
East,2016,9,1.1016
East,2016,9,9.7092
East,2016,9,-5.715
East,2016,9,3.546
Central,2018,10,9.9468
Central,2017,12,123.4737
Central,2017,12,-147.963
Central,2016,12,35.415
Central,2016,12,-46.9764
Central,2016,12,-15.147
Central,2016,12,41.7564
Central,2018,9,16.5564
West,2017,7,3.894
South,2018,9,9.5616
Central,2017,3,19.7714
Central,2017,3,8.2062
Central,2018,12,-5.8248
Central,2015,10,8.4784
East,2017,6,4.95
East,2017,6,6.104
Central,2016,4,17.9634
Central,2016,4,35.3346
Central,2016,4,2.9568
Central,2016,4,17.0981
East,2017,12,6.2566
East,2017,12,298.6855
East,2017,6,52.14
East,2017,6,15.552
East,2017,6,7.098
East,2017,6,6.9888
East,2017,6,3.3
East,2017,6,16.362
East,2017,6,0.84
West,2016,11,6.1512
West,2016,11,9.3612
West,2016,11,68.9631
West,2016,11,22.3328
Central,2016,4,-15.2225
West,2015,12,111.3024
West,2015,12,62.988
South,2017,6,35.6636
South,2016,9,22.3548
East,2017,9,1.731
Central,2018,9,8.763
South,2016,4,-114.3912
South,2016,4,1.213
South,2016,4,-18.196
Central,2018,12,-1.9344
Central,2018,12,2.724
Central,2015,11,-14.475
South,2017,6,56.2032
South,2017,6,8.0352
West,2015,10,4.172
West,2015,10,6.2031
South,2016,9,62.8075
Central,2018,11,-48.9549
South,2018,5,33.2156
Central,2018,10,6.7966
Central,2018,10,2.9568
Central,2017,4,13.8572
West,2017,9,6.633
West,2017,9,8.2782
West,2017,9,3.1104
Central,2016,1,6.2208
Central,2016,1,16.5354
Central,2016,1,16.1504
West,2018,11,-3.788
East,2018,11,40.5426
West,2018,6,17.9592
Central,2017,9,22.5852
Central,2017,8,22.6184
Central,2017,8,-10.7973
Central,2017,8,-3.0396
Central,2017,12,11.7208
West,2016,11,-26.8758
West,2016,11,-3.8385
West,2016,11,-25.8174
South,2018,11,17.6016
South,2018,11,2.0994
South,2018,11,1.0738
Central,2016,10,67.992
East,2018,12,10.9096
Central,2017,11,22.788
Central,2017,11,13.3476
East,2015,8,14.5348
East,2015,8,1.652
East,2015,8,44.0316
West,2016,3,165.3813
South,2016,4,-115.7156
East,2017,6,18.3456
East,2017,6,13.878
East,2017,6,63.4368
East,2017,6,51.759
East,2017,6,19.7316
Central,2015,12,-8.5794
Central,2015,9,-407.682
West,2018,11,-1.8308
West,2018,11,30.499
West,2017,11,-9.1602
West,2017,11,26.2416
East,2018,2,-11.994
East,2018,2,29.364
East,2018,2,6.9732
West,2017,10,9.6192
West,2017,10,16.6568
West,2017,10,3.456
West,2017,10,1.9698
West,2017,10,26.6616
West,2017,10,18.4464
West,2017,10,20.6976
East,2017,9,10.35
West,2018,9,2.3814
West,2018,9,5.1042
West,2018,9,68.976
Central,2018,12,218.2518
West,2016,9,20.1579
East,2015,10,12.9096
Central,2017,12,103.8015
Central,2017,12,5.9988
Central,2017,12,585.552
Central,2017,12,80.6285
West,2017,3,17.766
West,2017,3,15.2388
West,2016,5,26.271
West,2016,5,48.5392
West,2016,5,21.0288
West,2016,5,1.7901
West,2015,3,51.4764
Central,2017,11,6.8714
